n,offset,alignment_bytes,mode,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
64,0,24,arithmetic,1,262144,5881290,5885962,22.435340881347656,22.453163146972656
64,0,24,arithmetic,2,262144,5915820,5919327,22.567062377929688,22.580440521240234
64,0,24,arithmetic,3,262144,5766224,5770106,21.99639892578125,22.011207580566406
64,0,24,arithmetic,4,262144,5794905,5799797,22.10580825805664,22.124469757080078
64,0,24,arithmetic,5,262144,5916860,5930115,22.571029663085938,22.621593475341797
64,0,24,arithmetic,6,262144,5878683,5882574,22.425395965576172,22.44023895263672
64,0,24,arithmetic,7,262144,5839579,5843228,22.276226043701172,22.290145874023438
64,0,24,reset,1,262144,7031805,7035677,26.824207305908203,26.838977813720703
64,0,24,reset,2,262144,6954766,6958677,26.53032684326172,26.545246124267578
64,0,24,reset,3,262144,7073814,7077217,26.984458923339844,26.997440338134766
64,0,24,reset,4,262144,7004261,7067404,26.719135284423828,26.960006713867188
64,0,24,reset,5,262144,7031429,7034825,26.822772979736328,26.83572769165039
64,0,24,reset,6,262144,6961988,6966233,26.557876586914063,26.57406997680664
64,0,24,reset,7,262144,7000698,7004682,26.705543518066406,26.720741271972656
64,1,0,arithmetic,1,262144,4971715,4975185,18.965587615966797,18.978824615478516
64,1,0,arithmetic,2,262144,4982102,4986659,19.005210876464844,19.022594451904297
64,1,0,arithmetic,3,262144,5131961,5135499,19.57687759399414,19.590373992919922
64,1,0,arithmetic,4,262144,5241219,5244753,19.993663787841797,20.007144927978516
64,1,0,arithmetic,5,262144,5039223,5043131,19.22311019897461,19.238018035888672
64,1,0,arithmetic,6,262144,5106044,5109971,19.478012084960938,19.492992401123047
64,1,0,arithmetic,7,262144,5204459,5207958,19.853435516357422,19.866783142089844
64,1,0,reset,1,262144,6053346,6057907,23.09168243408203,23.109081268310547
64,1,0,reset,2,262144,6039038,6042749,23.03710174560547,23.051258087158203
64,1,0,reset,3,262144,6127571,6131234,23.374828338623047,23.38880157470703
64,1,0,reset,4,262144,6010107,6014603,22.926738739013672,22.943889617919922
64,1,0,reset,5,262144,6112048,6115686,23.31561279296875,23.329490661621094
64,1,0,reset,6,262144,5908682,5912255,22.539833068847656,22.553462982177734
64,1,0,reset,7,262144,5988429,5993018,22.844043731689453,22.861549377441406
64,2,8,arithmetic,1,262144,5968878,5972215,22.76946258544922,22.78219223022461
64,2,8,arithmetic,2,262144,5834919,5839015,22.25844955444336,22.27407455444336
64,2,8,arithmetic,3,262144,5836754,5840459,22.26544952392578,22.279582977294922
64,2,8,arithmetic,4,262144,5770261,5773531,22.011798858642578,22.024272918701172
