elapsed_s,cpu_percent
400.011,7.64
401.011,6.94
402.012,7.14
403.013,7.39
404.013,7.50
405.017,7.86
406.017,6.83
407.018,6.76
408.018,7.01
409.018,7.02
410.019,7.11
