elapsed_s,cpu_percent
402.134,15.08
403.144,13.00
404.147,13.09
405.158,13.86
406.160,13.93
407.167,13.08
408.178,12.88
409.184,15.09
410.194,12.88
411.204,13.01
412.215,14.85
413.217,12.97
414.226,14.47
415.234,15.31
416.244,13.45
417.251,13.02
418.261,14.75
419.267,13.27
420.277,13.11
421.284,12.92
422.292,16.73
423.303,13.45
424.313,12.74
425.317,16.92
426.328,13.11
427.334,12.94
428.342,14.44
429.349,13.41
430.359,12.80
431.367,13.78
432.378,14.48
433.384,12.96
434.394,12.70
435.401,14.83
436.409,13.00
437.417,13.11
438.428,14.77
439.434,12.85
440.442,14.87
441.451,17.48
442.461,13.17
443.471,13.41
444.476,14.27
445.486,14.24
446.497,13.28
447.501,12.71
448.511,15.16
449.517,13.41
450.528,12.80
451.534,14.93
452.544,13.17
453.554,14.40
454.558,15.97
455.568,13.78
456.574,17.43
457.584,14.98
458.593,13.25
459.601,13.28
460.602,13.09
461.603,17.09
462.608,13.31
463.617,13.25
464.625,17.05
465.634,13.11
466.642,13.00
467.651,14.57
468.661,12.91
469.667,13.15
470.678,13.07
471.688,14.20
472.698,13.16
473.707,13.89
474.718,14.80
475.728,13.01
476.732,13.42
477.742,14.50
478.753,12.90
479.760,12.95
480.770,14.47
481.781,13.44
482.791,13.21
483.801,13.29
484.811,14.30
485.816,12.96
486.822,13.35
487.828,17.23
488.838,13.27
489.849,12.92
490.859,16.78
491.869,13.45
492.879,13.29
493.882,14.39
494.884,13.21
495.891,13.11
496.901,12.90
497.911,14.64
498.921,12.82
499.931,13.06
500.941,14.61
501.952,13.28
502.962,19.43
503.967,15.45
504.978,13.07
505.988,13.19
506.998,14.67
508.007,13.76
509.017,12.98
510.028,14.60
511.038,13.48
512.046,12.85
513.056,12.87
514.066,15.08
515.077,12.98
516.081,12.97
517.087,15.05
518.098,13.17
519.101,18.69
520.111,15.29
521.121,13.10
522.131,13.29
523.134,15.05
524.137,14.53
525.147,14.58
526.157,13.68
527.167,17.33
528.176,14.07
529.184,13.83
530.186,18.54
531.196,13.89
532.206,13.07
533.216,14.85
534.224,13.94
535.226,13.19
536.234,13.21
537.237,14.86
538.248,12.91
539.257,12.72
540.268,15.02
541.278,13.19
542.288,13.07
543.298,14.57
544.304,12.97
545.314,13.19
546.317,15.10
547.328,13.37
548.338,12.88
549.348,13.47
550.351,15.17
551.361,13.10
552.371,15.35
553.381,15.49
554.391,12.64
555.402,13.68
556.407,14.91
557.417,13.23
558.428,12.65
559.434,16.20
560.436,13.15
561.446,13.08
562.456,14.13
563.466,15.86
564.476,13.39
565.479,13.19
566.484,15.27
567.493,13.17
568.501,12.74
569.507,15.34
570.517,13.27
571.527,12.98
572.534,15.15
573.544,13.96
574.551,13.63
575.556,15.15
576.564,14.21
577.567,13.55
578.578,13.63
579.584,16.22
580.595,13.89
581.601,13.72
582.608,15.67
583.616,13.60
584.626,13.79
585.636,15.31
586.647,12.91
587.647,12.91
588.658,15.40
589.668,13.10
590.678,13.02
591.684,13.51
592.694,14.37
593.703,14.00
594.713,14.47
595.717,15.85
596.728,13.39
597.734,13.43
598.744,15.79
599.751,14.53
600.752,13.60
601.761,15.18
602.767,13.23
603.778,13.00
604.788,14.50
605.796,13.22
606.801,13.07
607.804,13.15
608.815,14.64
609.817,13.09
610.828,13.25
611.828,15.05
612.829,13.21
613.839,13.13
614.850,15.51
615.853,13.03
616.861,12.89
617.867,15.31
618.878,13.10
619.888,13.16
620.898,12.70
621.908,15.36
622.917,13.01
623.928,13.75
624.935,14.96
625.945,13.28
626.946,20.38
627.956,18.69
628.961,18.52
629.967,16.37
630.978,18.47
631.984,17.53
632.994,16.02
634.003,18.77
635.013,17.69
636.015,13.89
637.017,13.59
638.028,15.72
639.032,13.57
640.039,13.46
641.049,16.24
642.051,13.76
643.054,13.57
644.065,15.56
645.075,13.27
646.085,13.06
647.089,13.96
648.099,14.19
649.110,12.76
650.117,13.01
651.119,14.97
652.129,13.25
653.139,12.81
654.146,16.02
655.151,12.91
656.159,13.17
657.167,14.77
658.178,13.07
659.184,12.79
660.194,15.03
661.204,13.02
662.215,12.91
663.225,13.35
664.229,15.87
665.239,13.80
666.245,13.70
667.255,15.26
668.266,15.97
669.274,14.31
670.284,16.17
671.294,12.97
672.304,13.28
673.315,14.40
674.324,13.29
675.334,13.17
676.345,13.60
677.353,13.72
678.360,12.91
679.369,13.08
680.374,14.37
681.382,13.00
682.393,13.01
683.400,14.23
684.401,14.16
685.411,13.01
686.417,17.63
687.422,14.93
688.433,13.12
689.443,14.65
690.453,12.92
691.459,13.02
692.469,13.41
693.479,14.23
694.490,13.78
695.490,12.91
696.495,14.66
697.505,13.07
698.515,12.82
699.517,14.79
700.528,12.88
701.534,13.26
702.542,14.57
703.553,13.00
704.563,13.35
705.573,13.31
706.576,14.31
707.584,13.25
708.594,12.81
709.600,14.64
710.610,12.78
711.621,12.91
712.631,14.65
713.634,14.04
714.644,13.21
715.654,15.39
716.664,13.47
717.674,12.82
718.684,13.42
719.694,15.33
720.701,12.91
721.711,13.00
722.717,15.17
723.728,13.44
724.738,13.10
725.741,15.28
726.750,13.37
727.760,13.07
728.767,15.22
729.778,13.12
730.788,13.42
731.798,15.22
732.801,13.76
733.804,12.91
734.812,14.20
735.817,15.55
736.824,13.80
737.829,14.09
738.839,18.60
739.841,13.21
740.851,13.01
741.861,15.97
742.867,13.11
743.870,13.97
744.875,15.58
745.885,13.64
746.895,13.28
747.899,12.96
748.901,14.23
749.911,13.29
750.917,13.10
751.922,14.91
752.932,13.38
753.942,12.91
754.947,13.22
755.958,15.18
756.967,14.02
757.978,13.18
758.984,15.41
759.994,13.08
761.001,12.95
762.011,14.29
763.017,14.40
764.028,13.45
765.034,13.03
766.044,15.19
767.055,13.07
768.065,12.91
769.067,15.55
770.074,13.45
771.084,13.00
772.091,14.03
773.098,14.70
774.108,13.92
775.119,13.56
776.122,15.10
777.131,13.19
778.141,12.64
779.151,15.16
780.161,13.25
781.171,13.00
782.178,13.13
783.188,15.41
784.198,13.33
785.201,12.84
786.211,15.83
787.221,14.07
788.231,24.68
789.239,13.55
