schema,6
run,id,implementation,workload_version,fixture_version,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
sample,57,1,7,1772,200152280,112952.7539503386
sample,57,1,8,2419,200516758,82892.4175279041
sample,57,1,9,1572,200243667,127381.4675572519
sample,57,1,10,1585,200182430,126298.06309148265
sample,57,2,11,2329,200174240,85948.57878917991
sample,57,2,12,1560,200281442,128385.53974358975
sample,57,2,13,1567,200161859,127735.7109125718
sample,57,2,14,1523,200228625,131469.87852921864
sample,57,2,15,2381,200436485,84181.64006719866
sample,57,2,16,2458,200155369,81430.17453213995
sample,57,2,17,2154,200203828,92945.13834726092
sample,57,2,18,1684,200167784,118864.47980997624
sample,57,2,19,1540,200344949,130094.12272727273
sample,57,2,20,1530,200185319,130840.07777777778
case,58,1,gemm-block+64x64x32+uniform+packed=4x4+timing=pack-plus-compute,ok,direct,pack-plus-compute,portable-tile
sample,58,1,1,2264,200243144,88446.6183745583
sample,58,1,2,2549,200189777,78536.59356610435
sample,58,1,3,2374,200154794,84311.20219039595
sample,58,1,4,2428,200166508,82440.90115321252
sample,58,1,5,2351,200310131,85202.09740535943
sample,58,1,6,2330,200191667,85919.1703862661
sample,58,1,7,1439,201447610,139991.38985406532
sample,58,1,8,2286,200298733,87619.74321959756
sample,58,1,9,2325,200740135,86339.8430107527
sample,58,1,10,2425,200182116,82549.32618556701
sample,58,2,11,2247,200198297,89095.8153093013
sample,58,2,12,2649,200192439,75572.83465458664
sample,58,2,13,2007,200461628,99881.22969606378
sample,58,2,14,2330,200221018,85931.76738197425
sample,58,2,15,2214,200265963,90454.36449864498
sample,58,2,16,1530,200168963,130829.38758169935
sample,58,2,17,1509,200154960,132640.79522862824
sample,58,2,18,1415,200214017,141494.00494699646
sample,58,2,19,2319,200182412,86322.730487279
sample,58,2,20,2942,200204898,68050.61114887832
case,59,2,gemm-block+64x64x32+uniform+packed=8x4+timing=prepacked-compute,unsupported,unsupported,arithmetic,unavailable
case,60,2,gemm-block+64x64x32+uniform+packed=8x4+timing=pack-plus-compute,unsupported,unsupported,arithmetic,unavailable
case,61,1,gemm-block+64x64x33+uniform+packed=4x4+timing=prepacked-compute,ok,direct,prepacked-compute,portable-tile
sample,61,1,1,3673,200233227,54514.899809420094
sample,61,1,2,3548,200234001,56435.738726042844
sample,61,1,3,3876,200313039,51680.350619195044
sample,61,1,4,3809,200176377,52553.52507219743
sample,61,1,5,3746,200228248,53451.2140950347
sample,61,1,6,3394,200197375,58985.673246906306
sample,61,1,7,2887,200311585,69383.9920332525
sample,61,1,8,2763,200235251,72470.2319942092
sample,61,1,9,2641,207009079,78382.83945475199
sample,61,1,10,2160,200207166,92688.50277777777
sample,61,2,11,2716,200173264,73701.49631811488
sample,61,2,12,2733,200168785,73241.41419685328
sample,61,2,13,2619,200198925,76440.97938144329
sample,61,2,14,2676,200293086,74847.9394618834
sample,61,2,15,2860,200153109,69983.60454545454
sample,61,2,16,2921,200182313,68532.11674084218
sample,61,2,17,2883,200241689,69456.01422129726
sample,61,2,18,2734,200304595,73264.29956108266
sample,61,2,19,2792,200304109,71742.15938395416
sample,61,2,20,2371,200281788,84471.44158582877
case,62,1,gemm-block+64x64x33+uniform+packed=4x4+timing=pack-plus-compute,ok,direct,pack-plus-compute,portable-tile
sample,62,1,1,2490,200232882,80414.81204819278
sample,62,1,2,2375,200760182,84530.60294736842
sample,62,1,3,2318,201243997,86817.94521138913
sample,62,1,4,2479,203878225,82242.12384025817
