schema,5
run,id,implementation,workload_version,fixture_version,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,logical_id,configuration,physical_work,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
case,64,2,gemm-block+64x64x33+uniform+packed=8x4+timing=pack-plus-compute,ok,direct,pack-plus-compute,gemm-add-v1+64x64x33+uniform,packed=8x4,tiles=128;leftDoubles=2112;rightDoubles=2112;outputDoubles=4096;resetDoubles=4096;scratchDoubles=32;triangleDoubles=0,jvm-simd/vector-tile-v1/8x4
sample,64,1,1,10759,200180236,18605.840319732317
sample,64,1,2,8507,200121059,23524.281062654285
sample,64,1,3,10670,200164079,18759.520056232428
sample,64,1,4,10678,200177949,18746.764281700693
sample,64,1,5,10684,200163284,18734.86372145264
sample,64,1,6,10711,200267646,18697.380823452524
sample,64,1,7,10782,200172623,18565.444537191615
sample,64,1,8,10652,200135188,18788.508073601202
sample,64,1,9,10461,200197995,19137.558072841985
sample,64,1,10,10761,200211628,18605.29950748072
sample,64,2,11,9768,200230197,20498.586916461918
sample,64,2,12,10103,200236711,19819.529941601504
sample,64,2,13,10310,200196273,19417.67924345296
sample,64,2,14,10394,200169336,19258.16201654801
sample,64,2,15,10108,200344977,19820.43698060942
sample,64,2,16,10506,200157330,19051.71616219303
sample,64,2,17,10224,200297131,19590.877445226917
sample,64,2,18,10365,200189716,19314.010226724553
sample,64,2,19,10538,200214309,18999.27016511672
sample,64,2,20,10467,200163035,19123.247826502342
case,65,1,gemm-block+64x64x63+uniform+packed=4x4+timing=prepacked-compute,unsupported,unsupported,arithmetic,gemm-add-v1+64x64x63+uniform,packed=4x4,tiles=256;leftDoubles=4032;rightDoubles=4032;outputDoubles=4096;resetDoubles=4096;scratchDoubles=16;triangleDoubles=0,unavailable
case,66,1,gemm-block+64x64x63+uniform+packed=4x4+timing=pack-plus-compute,unsupported,unsupported,arithmetic,gemm-add-v1+64x64x63+uniform,packed=4x4,tiles=256;leftDoubles=4032;rightDoubles=4032;outputDoubles=4096;resetDoubles=4096;scratchDoubles=16;triangleDoubles=0,unavailable
case,67,2,gemm-block+64x64x63+uniform+packed=8x4+timing=prepacked-compute,ok,direct,prepacked-compute,gemm-add-v1+64x64x63+uniform,packed=8x4,tiles=128;leftDoubles=4032;rightDoubles=4032;outputDoubles=4096;resetDoubles=4096;scratchDoubles=32;triangleDoubles=0,jvm-simd/vector-tile-v1/8x4
sample,67,1,1,10128,200260689,19772.974822274882
sample,67,1,2,9599,200172069,20853.429419731223
sample,67,1,3,10280,200234653,19478.079085603113
sample,67,1,4,10101,200178379,19817.67933867934
sample,67,1,5,10109,200206998,19804.827183697696
sample,67,1,6,7841,200206953,25533.344343833694
sample,67,1,7,10122,200191853,19777.894981229005
sample,67,1,8,10220,200186830,19587.752446183953
sample,67,1,9,10284,200156151,19462.869603267212
sample,67,1,10,10328,200171216,19381.411309062743
sample,67,2,11,10239,200208845,19553.554546342417
sample,67,2,12,10394,200118911,19253.31065999615
sample,67,2,13,10044,200190781,19931.38002787734
sample,67,2,14,9714,200127118,20601.926909614987
sample,67,2,15,6458,206120807,31917.12712914215
sample,67,2,16,3780,201244384,53239.25502645503
sample,67,2,17,3539,200233312,56579.0652726759
sample,67,2,18,4381,200195354,45696.268888381645
sample,67,2,19,4019,200876661,49981.75192834038
sample,67,2,20,4832,204277202,42275.91100993378
case,68,2,gemm-block+64x64x63+uniform+packed=8x4+timing=pack-plus-compute,ok,direct,pack-plus-compute,gemm-add-v1+64x64x63+uniform,packed=8x4,tiles=128;leftDoubles=4032;rightDoubles=4032;outputDoubles=4096;resetDoubles=4096;scratchDoubles=32;triangleDoubles=0,jvm-simd/vector-tile-v1/8x4
sample,68,1,1,2194,200183198,91241.20237010028
sample,68,1,2,2183,200238803,91726.43289051764
sample,68,1,3,2809,200251885,71289.38590245639
sample,68,1,4,4790,200257845,41807.483298538624
sample,68,1,5,4464,201270544,45087.48745519713
sample,68,1,6,2986,200175628,67038.05358338915
sample,68,1,7,3541,203408961,57443.931375317705
sample,68,1,8,4448,200201220,45009.26708633093
sample,68,1,9,3176,200117924,63009.421914357685
sample,68,1,10,3856,200167022,51910.53475103735
sample,68,2,11,2162,200213285,92605.58973172988
sample,68,2,12,4310,200206554,46451.636658932715
sample,68,2,13,2772,200162500,72208.69408369408
sample,68,2,14,4728,200159198,42334.855752961084
sample,68,2,15,4636,200225344,43189.24590163935
sample,68,2,16,4881,200272912,41031.12313050604
sample,68,2,17,4915,200235993,40739.77477110885
sample,68,2,18,4178,200218222,47922.0253709909
sample,68,2,19,2340,200191263,85551.8217948718
sample,68,2,20,3937,200235902,50860.020828041655
case,69,1,gemm-block+64x64x64+uniform+packed=4x4+timing=prepacked-compute,unsupported,unsupported,arithmetic,gemm-add-v1+64x64x64+uniform,packed=4x4,tiles=256;leftDoubles=4096;rightDoubles=4096;outputDoubles=4096;resetDoubles=4096;scratchDoubles=16;triangleDoubles=0,unavailable
case,70,1,gemm-block+64x64x64+uniform+packed=4x4+timing=pack-plus-compute,unsupported,unsupported,arithmetic,gemm-add-v1+64x64x64+uniform,packed=4x4,tiles=256;leftDoubles=4096;rightDoubles=4096;outputDoubles=4096;resetDoubles=4096;scratchDoubles=16;triangleDoubles=0,unavailable
case,71,2,gemm-block+64x64x64+uniform+packed=8x4+timing=prepacked-compute,ok,direct,prepacked-compute,gemm-add-v1+64x64x64+uniform,packed=8x4,tiles=128;leftDoubles=4096;rightDoubles=4096;outputDoubles=4096;resetDoubles=4096;scratchDoubles=32;triangleDoubles=0,jvm-simd/vector-tile-v1/8x4
sample,71,1,1,6635,200224480,30177.012810851546
sample,71,1,2,6159,200184019,32502.68209124858
sample,71,1,3,6264,200188490,31958.571200510854
sample,71,1,4,6397,200156666,31289.14584961701
sample,71,1,5,6556,200245202,30543.80750457596
sample,71,1,6,6553,200189099,30549.229207996337
sample,71,1,7,6481,200184154,30887.849714550222
sample,71,1,8,6197,200286533,32319.91818621914
sample,71,1,9,6552,200134028,30545.48656898657
sample,71,1,10,6349,200115141,31519.159080170106
sample,71,2,11,4422,200175505,45268.09249208503
sample,71,2,12,4590,200224693,43621.937472766884
sample,71,2,13,5103,200184381,39228.763668430336
sample,71,2,14,3674,200150340,54477.50136091453
sample,71,2,15,4217,200278887,47493.21484467631
sample,71,2,16,6088,200250944,32892.73061760841
sample,71,2,17,6185,200244185,32375.77768795473
sample,71,2,18,6147,200214699,32571.123962908736
sample,71,2,19,6367,200151318,31435.73394063138
sample,71,2,20,6381,200231748,31379.368124118475
case,72,2,gemm-block+64x64x64+uniform+packed=8x4+timing=pack-plus-compute,ok,direct,pack-plus-compute,gemm-add-v1+64x64x64+uniform,packed=8x4,tiles=128;leftDoubles=4096;rightDoubles=4096;outputDoubles=4096;resetDoubles=4096;scratchDoubles=32;triangleDoubles=0,jvm-simd/vector-tile-v1/8x4
sample,72,1,1,4745,200219228,42195.83308746049
sample,72,1,2,4991,200253154,40122.85193348026
sample,72,1,3,5139,200206768,38958.3125121619
sample,72,1,4,5179,200221799,38660.320332110445
sample,72,1,5,5147,200226208,38901.53642898776
sample,72,1,6,5176,200214884,38681.39180834621
sample,72,1,7,5361,200257243,37354.456817757884
sample,72,1,8,5824,200242101,34382.228880494506
sample,72,1,9,6264,200192747,31959.250798212004
sample,72,1,10,6421,200172743,31174.699112287806
sample,72,2,11,2872,200169816,69697.01114206128
sample,72,2,12,4098,200166228,48844.857979502194
sample,72,2,13,4326,200351794,46313.40591770689
sample,72,2,14,3121,202640672,64928.12303748798
sample,72,2,15,3543,200114318,56481.60259666949
sample,72,2,16,2108,200173464,94958.94876660341
sample,72,2,17,2220,200268479,90211.02657657658
sample,72,2,18,2176,200190641,91999.37545955883
sample,72,2,19,4223,200194487,47405.7511247928
sample,72,2,20,3203,200197147,62503.01186387761
case,73,1,gemm-block+64x64x65+uniform+packed=4x4+timing=prepacked-compute,unsupported,unsupported,arithmetic,gemm-add-v1+64x64x65+uniform,packed=4x4,tiles=256;leftDoubles=4160;rightDoubles=4160;outputDoubles=4096;resetDoubles=4096;scratchDoubles=16;triangleDoubles=0,unavailable
case,74,1,gemm-block+64x64x65+uniform+packed=4x4+timing=pack-plus-compute,unsupported,unsupported,arithmetic,gemm-add-v1+64x64x65+uniform,packed=4x4,tiles=256;leftDoubles=4160;rightDoubles=4160;outputDoubles=4096;resetDoubles=4096;scratchDoubles=16;triangleDoubles=0,unavailable
case,75,2,gemm-block+64x64x65+uniform+packed=8x4+timing=prepacked-compute,ok,direct,prepacked-compute,gemm-add-v1+64x64x65+uniform,packed=8x4,tiles=128;leftDoubles=4160;rightDoubles=4160;outputDoubles=4096;resetDoubles=4096;scratchDoubles=32;triangleDoubles=0,jvm-simd/vector-tile-v1/8x4
sample,75,1,1,5439,200204699,36809.10075381504
sample,75,1,2,6728,200234987,29761.4427764566
sample,75,1,3,7096,200208527,28214.27945321308
sample,75,1,4,3428,200207446,58403.5723453909
sample,75,1,5,6745,200165529,29676.1347664937
sample,75,1,6,3435,200211908,58285.8538573508
sample,75,1,7,2803,200275036,71450.24473778094
sample,75,1,8,6248,200179110,32038.91005121639
sample,75,1,9,3281,200228259,61026.59524535203
sample,75,1,10,2993,200196750,66888.32275309054
sample,75,2,11,2812,200213166,71199.56116642959
sample,75,2,12,4903,200175356,40827.11727513767
sample,75,2,13,2816,200122475,71066.21981534091
sample,75,2,14,2812,200174208,71185.70697012803
sample,75,2,15,2811,200272327,71245.93632159373
sample,75,2,16,5391,200213796,37138.52643294379
sample,75,2,17,4794,200153237,41750.779516061746
sample,75,2,18,4067,200297471,49249.439636095405
sample,75,2,19,3266,200188754,61294.78077158604
sample,75,2,20,4515,200176975,44335.98560354374
case,76,2,gemm-block+64x64x65+uniform+packed=8x4+timing=pack-plus-compute,ok,direct,pack-plus-compute,gemm-add-v1+64x64x65+uniform,packed=8x4,tiles=128;leftDoubles=4160;rightDoubles=4160;outputDoubles=4096;resetDoubles=4096;scratchDoubles=32;triangleDoubles=0,jvm-simd/vector-tile-v1/8x4
sample,76,1,1,1981,200200268,101060.20595658758
sample,76,1,2,1883,200141470,106288.61922464153
sample,76,1,3,2425,200183638,82549.95381443299
sample,76,1,4,1960,200184747,102135.075
sample,76,1,5,3606,200204998,55519.96616749861
sample,76,1,6,3439,200192408,58212.389648153534
sample,76,1,7,3648,200141082,54863.23519736842
sample,76,1,8,3953,200141955,50630.3959018467
sample,76,1,9,2433,200246071,82304.18043567611
sample,76,1,10,1926,200189282,103940.43717549325
sample,76,2,11,4210,200170749,47546.49619952494
sample,76,2,12,2711,200189339,73843.35632607894
sample,76,2,13,2089,200207264,95838.80516993777
sample,76,2,14,2097,200225062,95481.67000476872
sample,76,2,15,4169,200940903,48198.82537778844
sample,76,2,16,3745,200152248,53445.19305740988
sample,76,2,17,4100,200145913,48816.07634146341
sample,76,2,18,2968,200225344,67461.36927223719
sample,76,2,19,2040,200201804,98138.13921568627
sample,76,2,20,2103,200202412,95198.48407037565
case,77,1,gemm-block+128x128x64+uniform+packed=4x4+timing=prepacked-compute,unsupported,unsupported,arithmetic,gemm-add-v1+128x128x64+uniform,packed=4x4,tiles=1024;leftDoubles=8192;rightDoubles=8192;outputDoubles=16384;resetDoubles=16384;scratchDoubles=16;triangleDoubles=0,unavailable
case,78,1,gemm-block+128x128x64+uniform+packed=4x4+timing=pack-plus-compute,unsupported,unsupported,arithmetic,gemm-add-v1+128x128x64+uniform,packed=4x4,tiles=1024;leftDoubles=8192;rightDoubles=8192;outputDoubles=16384;resetDoubles=16384;scratchDoubles=16;triangleDoubles=0,unavailable
case,79,2,gemm-block+128x128x64+uniform+packed=8x4+timing=prepacked-compute,ok,direct,prepacked-compute,gemm-add-v1+128x128x64+uniform,packed=8x4,tiles=512;leftDoubles=8192;rightDoubles=8192;outputDoubles=16384;resetDoubles=16384;scratchDoubles=32;triangleDoubles=0,jvm-simd/vector-tile-v1/8x4
sample,79,1,1,1248,200266705,160470.11618589744
sample,79,1,2,1470,200294363,136254.66870748298
sample,79,1,3,1215,200299051,164855.18600823046
sample,79,1,4,1488,200280150,134596.875
sample,79,1,5,1494,200270726,134050.01740294512
sample,79,1,6,1429,200283089,140156.1154653604
sample,79,1,7,757,200424204,264761.1677675033
sample,79,1,8,1300,200548131,154267.7930769231
sample,79,1,9,1564,200197326,128003.40537084399
sample,79,1,10,1526,200346787,131288.85124508518
sample,79,2,11,1196,200184203,167378.09615384616
sample,79,2,12,1525,200188796,131271.34163934426
sample,79,2,13,1222,200226586,163851.5433715221
sample,79,2,14,1271,200374358,157650.95043273014
sample,79,2,15,1382,200284342,144923.54703328508
sample,79,2,16,1483,200147101,134960.95819285233
sample,79,2,17,1423,200166960,140665.467322558
sample,79,2,18,1170,200292319,171190.01623931623
sample,79,2,19,803,200319458,249463.83312577833
sample,79,2,20,1170,201463456,172190.98803418802
case,80,2,gemm-block+128x128x64+uniform+packed=8x4+timing=pack-plus-compute,ok,direct,pack-plus-compute,gemm-add-v1+128x128x64+uniform,packed=8x4,tiles=512;leftDoubles=8192;rightDoubles=8192;outputDoubles=16384;resetDoubles=16384;scratchDoubles=32;triangleDoubles=0,jvm-simd/vector-tile-v1/8x4
sample,80,1,1,503,200316162,398242.8667992048
sample,80,1,2,721,200333141,277854.56449375866
sample,80,1,3,907,200153582,220676.49614112457
sample,80,1,4,810,200662407,247731.36666666667
sample,80,1,5,500,200649401,401298.802
sample,80,1,6,500,200438790,400877.58
sample,80,1,7,495,200397269,404842.9676767677
sample,80,1,8,492,200569576,407661.73983739835
sample,80,1,9,527,200311670,380098.04554079694
sample,80,1,10,561,200324497,357084.6648841355
sample,80,2,11,943,200214698,212316.75291622482
sample,80,2,12,1113,200318902,179981.04402515723
sample,80,2,13,1164,200925046,172616.01890034365
sample,80,2,14,1130,200166107,177138.14778761062
sample,80,2,15,1141,200303154,175550.52936021035
sample,80,2,16,662,200739523,303231.9078549849
sample,80,2,17,524,200375189,382395.39885496185
sample,80,2,18,504,201634424,400068.3015873016
sample,80,2,19,504,200959710,398729.5833333333
sample,80,2,20,618,201704886,326383.31067961163
case,81,1,gemm-block+128x8x64+uniform+packed=4x4+timing=prepacked-compute,unsupported,unsupported,arithmetic,gemm-add-v1+128x8x64+uniform,packed=4x4,tiles=64;leftDoubles=8192;rightDoubles=512;outputDoubles=1024;resetDoubles=1024;scratchDoubles=16;triangleDoubles=0,unavailable
case,82,1,gemm-block+128x8x64+uniform+packed=4x4+timing=pack-plus-compute,unsupported,unsupported,arithmetic,gemm-add-v1+128x8x64+uniform,packed=4x4,tiles=64;leftDoubles=8192;rightDoubles=512;outputDoubles=1024;resetDoubles=1024;scratchDoubles=16;triangleDoubles=0,unavailable
case,83,2,gemm-block+128x8x64+uniform+packed=8x4+timing=prepacked-compute,ok,direct,prepacked-compute,gemm-add-v1+128x8x64+uniform,packed=8x4,tiles=32;leftDoubles=8192;rightDoubles=512;outputDoubles=1024;resetDoubles=1024;scratchDoubles=32;triangleDoubles=0,jvm-simd/vector-tile-v1/8x4
sample,83,1,1,12302,202227975,16438.625833197853
sample,83,1,2,13108,200290672,15280.03295697284
sample,83,1,3,15486,200201881,12927.927224589952
sample,83,1,4,14656,200439602,13676.282887554586
sample,83,1,5,11249,200780943,17848.78149168815
sample,83,1,6,10117,200566809,19824.731540970643
sample,83,1,7,10717,201387164,18791.37482504432
sample,83,1,8,12374,202484350,16363.694035881688
sample,83,1,9,13496,200284922,14840.317279193836
sample,83,1,10,14330,200522520,13993.197487787858
sample,83,2,11,10551,200813104,19032.61340157331
sample,83,2,12,10727,203666017,18986.297846555422
sample,83,2,13,10600,200128862,18880.081320754718
sample,83,2,14,16325,200153405,12260.545482388974
sample,83,2,15,15875,201149089,12670.808755905511
sample,83,2,16,13717,201807050,14712.1856090982
sample,83,2,17,10678,201057564,18829.140663045513
sample,83,2,18,9806,200321691,20428.481643891497
sample,83,2,19,10193,203065070,19922.01216521142
sample,83,2,20,10082,200209167,19858.08044038881
case,84,2,gemm-block+128x8x64+uniform+packed=8x4+timing=pack-plus-compute,ok,direct,pack-plus-compute,gemm-add-v1+128x8x64+uniform,packed=8x4,tiles=32;leftDoubles=8192;rightDoubles=512;outputDoubles=1024;resetDoubles=1024;scratchDoubles=32;triangleDoubles=0,jvm-simd/vector-tile-v1/8x4
sample,84,1,1,5532,201814135,36481.22469269703
sample,84,1,2,5186,200153957,38595.05534130351
sample,84,1,3,7898,200171038,25344.522410736896
sample,84,1,4,6275,202934311,32340.129243027888
sample,84,1,5,4391,203714275,46393.59485310863
