schema,6
run,id,implementation,workload_version,fixture_version,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
sample,9,1,4,524288,168625167,321.62698173522949
sample,9,1,5,524288,158210362,301.7623176574707
sample,9,1,6,524288,157300211,300.02634239196777
sample,9,1,7,524288,155253960,296.12342834472656
sample,9,1,8,524288,155266194,296.14676284790039
sample,9,1,9,524288,155298648,296.20866394042969
sample,9,1,10,524288,153895153,293.53170967102051
case,10,1,packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas
sample,10,1,1,524288,203223446,387.61796188354492
sample,10,1,2,524288,200016289,381.50079536437988
sample,10,1,3,524288,168950870,322.24821090698242
sample,10,1,4,524288,157439175,300.29139518737793
sample,10,1,5,524288,156142521,297.81822395324707
sample,10,1,6,524288,158217347,301.7756404876709
sample,10,1,7,524288,158302022,301.9371452331543
sample,10,1,8,524288,158273077,301.88193702697754
sample,10,1,9,524288,155123291,295.87419700622559
sample,10,1,10,524288,156868323,299.20258140563965
case,11,1,gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas
sample,11,1,1,262144,125498756,478.73976135253906
sample,11,1,2,262144,125393986,478.34009552001953
sample,11,1,3,262144,129956441,495.74448013305664
sample,11,1,4,262144,129243871,493.02624130249023
sample,11,1,5,262144,127359243,485.83695602416992
sample,11,1,6,262144,125637353,479.26846694946289
sample,11,1,7,262144,125511701,478.78914260864258
sample,11,1,8,262144,126651513,483.13718032836914
sample,11,1,9,262144,125184132,477.53956604003906
sample,11,1,10,262144,137901353,526.05191421508789
case,12,1,gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-cblas
sample,12,1,1,262144,124019420,473.09654235839844
sample,12,1,2,262144,125532731,478.86936569213867
sample,12,1,3,262144,124259169,474.01111221313477
sample,12,1,4,262144,122612919,467.73116683959961
sample,12,1,5,262144,129791061,495.11360549926758
sample,12,1,6,262144,125390614,478.32723236083984
sample,12,1,7,262144,125499544,478.74276733398438
sample,12,1,8,262144,124439064,474.69735717773438
sample,12,1,9,262144,130615085,498.25700759887695
sample,12,1,10,262144,157871212,602.23088073730469
case,13,1,pack-left+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable
case,14,1,pack-left+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable
case,15,1,pack-right+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable
case,16,1,pack-right+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable
case,17,1,pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,unsupported,unsupported,layout,unavailable
case,18,1,pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,unsupported,unsupported,layout,unavailable
case,19,1,pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,unsupported,unsupported,layout,unavailable
case,20,1,pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,unsupported,unsupported,layout,unavailable
case,21,1,write-left+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable
case,22,1,write-left+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable
case,23,1,write-right+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable
case,24,1,write-right+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable
case,25,1,clear-left-padding+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable
case,26,1,clear-left-padding+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable
case,27,1,clear-right-padding+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable
case,28,1,clear-right-padding+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable
case,29,1,pack-left+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable
case,30,1,pack-left+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable
case,31,1,pack-right+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable
case,32,1,pack-right+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable
case,33,1,pack-symmetric-left+8x8+uniform+packed=8x4+uplo=L,unsupported,unsupported,layout,unavailable
case,34,1,pack-symmetric-right+4x4+uniform+packed=8x4+uplo=U,unsupported,unsupported,layout,unavailable
case,35,1,pack-triangular-left+8x8+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,layout,unavailable
case,36,1,pack-triangular-right+4x4+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,layout,unavailable
case,37,1,write-left+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable
case,38,1,write-left+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable
case,39,1,write-right+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable
case,40,1,write-right+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable
case,41,1,clear-left-padding+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable
case,42,1,clear-left-padding+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable
case,43,1,clear-right-padding+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable
case,44,1,clear-right-padding+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable
