elapsed_s,cpu_percent
399.225,7.80
400.226,7.63
401.226,6.73
402.227,7.05
403.227,8.94
404.228,7.32
405.228,7.36
406.228,9.64
407.229,6.71
408.229,6.71
409.230,10.39
410.230,7.02
411.231,6.62
412.231,8.21
413.231,9.45
414.232,7.07
415.232,6.66
416.233,8.58
417.233,6.91
418.234,6.80
419.234,8.86
420.234,7.73
421.235,6.95
422.235,8.38
423.235,6.82
424.236,6.91
425.236,8.65
426.237,7.72
427.237,6.87
428.238,6.67
429.238,8.89
430.239,8.03
431.239,7.71
432.239,10.98
433.240,6.96
434.240,7.28
435.241,8.83
436.241,6.81
437.242,7.86
438.242,8.34
439.242,6.82
440.243,7.81
441.243,8.12
442.244,8.52
443.244,7.34
444.244,6.66
445.245,8.69
446.245,7.47
447.246,11.74
448.246,10.20
449.247,6.70
450.247,6.75
451.247,10.16
452.248,7.43
453.248,7.18
454.249,7.37
455.249,8.58
456.250,8.94
457.250,6.89
458.250,8.87
459.251,6.87
460.251,6.71
461.252,8.34
462.252,6.82
463.253,6.86
464.253,8.97
465.253,6.71
466.254,6.72
467.254,8.72
468.255,6.87
469.255,6.86
470.256,6.74
471.256,8.48
472.256,6.97
473.257,6.61
474.257,10.64
475.258,6.87
476.258,6.71
477.258,10.48
478.259,7.26
479.259,6.91
480.260,7.73
481.260,8.08
482.260,7.66
483.261,6.80
484.261,8.68
485.262,6.92
486.262,6.67
487.262,9.19
488.263,6.93
489.263,6.71
490.264,8.39
491.264,7.26
492.265,8.53
493.265,9.29
494.265,7.42
495.266,7.12
496.266,7.55
497.267,8.22
498.267,6.91
499.268,7.01
500.268,8.59
501.268,7.52
502.269,7.76
503.269,8.65
504.270,6.56
505.270,6.47
506.270,8.45
507.271,9.57
508.271,7.25
509.272,8.54
510.272,7.06
511.273,6.87
512.273,7.51
513.274,11.06
514.274,7.01
515.274,7.53
516.275,10.10
517.275,6.82
518.276,6.62
519.276,8.74
520.276,6.92
521.277,7.43
522.277,8.11
523.278,8.34
524.278,7.32
525.278,6.65
526.279,9.13
527.279,7.46
528.279,6.62
529.280,8.54
530.280,6.91
531.281,6.66
532.281,9.68
533.281,7.81
534.282,7.67
535.282,9.04
536.283,7.11
537.283,6.85
538.283,7.25
539.284,9.72
540.284,7.01
541.285,6.80
542.285,9.23
543.286,6.66
544.286,7.51
545.287,8.99
546.287,6.92
547.288,7.06
548.288,9.09
549.289,8.53
550.289,7.92
551.290,9.54
552.290,8.53
553.290,9.35
554.291,9.61
555.291,9.28
556.292,6.87
557.292,7.71
558.293,8.70
559.293,7.21
560.294,7.02
561.294,8.80
562.294,7.28
563.295,7.76
564.295,8.68
565.296,7.32
566.296,7.22
567.296,9.14
568.297,8.13
569.297,7.21
570.298,7.06
571.298,8.69
572.298,7.21
573.299,7.23
574.299,9.43
575.300,6.91
576.300,6.84
577.301,8.98
578.301,7.02
579.301,6.76
580.302,8.58
581.302,7.11
582.303,7.02
583.303,7.54
584.303,8.68
585.304,7.12
586.304,6.72
587.305,8.84
588.305,6.77
589.306,7.10
590.306,8.77
591.306,6.71
592.307,7.07
593.307,8.65
594.308,6.87
595.309,6.66
596.309,8.46
597.310,7.06
598.310,7.02
599.311,7.82
600.311,8.38
601.312,6.87
602.312,7.09
603.313,8.87
604.314,7.70
605.314,6.81
606.315,9.29
607.315,7.32
608.316,6.92
609.316,9.19
610.317,7.29
611.317,6.93
612.318,9.21
613.318,8.39
614.319,7.93
615.319,7.02
616.320,9.35
617.320,7.17
618.321,7.24
619.321,9.27
620.322,6.87
621.322,6.97
622.323,9.20
623.323,7.31
624.324,7.61
625.324,8.48
626.324,7.28
627.325,7.87
628.325,7.64
629.326,8.57
630.326,6.90
631.327,6.79
632.327,8.59
633.327,6.62
634.328,6.97
635.328,8.79
636.329,6.71
637.329,6.76
638.329,8.83
639.330,6.87
640.330,6.91
641.331,8.77
642.331,7.17
643.332,6.95
644.332,7.60
645.333,8.35
646.333,6.61
647.334,6.87
648.334,8.60
649.334,6.82
650.335,6.57
651.335,8.58
652.336,7.04
653.336,6.74
654.337,8.48
655.337,6.81
656.337,7.46
657.338,8.38
658.338,6.81
659.339,7.36
660.339,7.28
661.339,7.67
662.340,6.76
663.340,6.72
664.341,8.23
665.341,6.79
666.342,6.76
667.342,8.28
668.343,7.07
669.343,7.02
670.344,8.24
671.344,6.74
672.344,6.91
673.345,8.82
674.348,8.71
675.348,7.57
676.349,7.38
677.349,7.70
678.350,6.69
679.350,6.80
680.351,8.22
681.351,6.77
682.352,7.06
683.352,8.38
684.353,6.91
685.353,7.25
686.353,8.18
687.354,7.42
688.354,6.67
689.355,8.83
690.355,6.76
691.356,6.85
692.356,7.40
693.356,7.67
694.357,7.38
695.357,6.82
696.357,8.43
697.358,6.77
698.358,6.70
699.359,9.63
700.359,7.10
701.359,6.86
702.360,9.92
703.360,6.81
704.361,7.85
705.361,9.33
706.361,7.22
707.362,7.08
708.362,7.43
709.363,9.18
710.363,7.62
711.364,6.96
712.364,9.69
713.365,6.97
714.365,7.16
715.366,9.48
716.366,6.76
717.366,7.10
718.367,8.85
719.367,6.96
720.367,7.72
721.368,8.72
722.368,7.37
723.369,6.82
724.369,7.81
725.370,8.63
726.370,7.02
727.370,10.50
728.371,9.52
729.371,6.82
730.371,6.85
731.372,8.55
732.372,6.97
733.373,7.48
734.373,10.84
735.373,7.68
736.374,6.97
737.374,8.92
738.375,6.76
739.375,6.91
740.375,7.73
741.376,8.32
742.376,7.22
743.377,6.84
744.377,8.82
745.377,6.92
746.378,7.41
747.378,9.68
748.378,6.76
749.379,6.95
750.379,9.47
751.380,6.87
752.380,6.62
753.381,8.82
754.381,6.72
755.381,6.97
756.382,7.30
757.382,8.03
758.383,6.66
759.383,6.86
760.384,8.92
761.384,6.76
762.385,6.90
763.385,9.02
764.385,6.97
765.386,6.81
766.386,9.10
767.387,6.97
768.387,6.81
769.387,8.87
770.388,7.53
771.388,6.92
772.389,7.56
773.389,8.54
774.389,6.91
775.390,6.85
776.390,9.02
777.391,7.06
778.391,6.71
779.392,9.49
780.392,7.16
781.392,7.56
782.393,9.07
783.393,6.97
784.394,7.16
785.394,8.63
786.394,7.11
787.395,7.06
788.395,6.60
789.396,9.03
790.396,6.80
791.396,6.81
792.397,9.13
793.397,7.76
794.398,7.25
795.398,10.34
796.398,7.32
797.399,7.62
798.399,8.88
799.400,6.76
800.400,6.70
801.400,7.60
802.401,8.54
803.401,6.62
804.402,6.96
805.402,8.95
806.403,7.37
807.403,7.47
808.403,8.85
809.404,6.77
810.404,7.32
811.405,9.20
812.405,6.93
813.406,6.81
814.406,8.96
815.406,7.02
816.407,7.43
817.407,7.33
818.408,8.43
819.408,6.67
820.409,6.80
821.409,8.59
822.410,6.97
823.410,6.81
824.411,9.03
825.411,6.71
826.411,6.95
827.412,9.28
828.412,7.01
829.413,7.37
830.413,8.85
831.413,7.71
832.414,7.30
833.414,7.12
834.415,8.83
835.415,7.52
836.415,6.77
837.416,9.10
838.416,7.05
839.416,7.06
